客代,標籤分類1,標籤分類2,標籤名稱,標籤值
1,基本類別,基本類別,性別,女
1,基本類別,基本類別,年齡區間,60-69
1,基本類別,基本類別,星座,天蠍座
1,基本類別,基本類別,居住縣市,台北市文山區
1,基本類別,基本類別,會員等級,B級會員
1,基本類別,基本類別,會員年資分組,10年以上-15年以下
1,保健,保健功效,可推薦商品類別,強化靈活關節
1,保健,保健功效,可推薦商品類別,眼睛保健
1,保健,保健功效,可推薦商品類別,腸胃保健
1,保健,高健康意識,是否有高健康意識,是
1,旅遊,旅遊偏好,旅遊國家偏好,日韓
1,旅遊,旅遊偏好,旅遊國家偏好,歐美
1,旅遊,旅遊偏好,有無旅遊偏好,有
1,生活,生活用品偏好,有無生活用品偏好,有
1,美容,美容偏好,有無美容偏好,有
1,美容,美容偏好,美妝保養類型偏好,護膚SPA
1,食品,食品偏好,有無食品偏好,有
1,食品,飲食習慣,是否曾買過素食,是
1,寵物,寵物偏好,有無養寵物,有
1,寵物,寵物偏好,寵物類型,狗
2,基本類別,基本類別,性別,女
2,基本類別,基本類別,年齡區間,80以上
2,基本類別,基本類別,星座,金牛座
2,基本類別,基本類別,居住縣市,台北市大安區
2,基本類別,基本類別,會員等級,A級會員
2,基本類別,基本類別,會員年資分組,10年以上-15年以下
2,基本類別,基本類別,職業,退休族
2,保健,保健功效,可推薦商品類別,加強心血管機能
2,保健,保健功效,可推薦商品類別,安神/幫助入睡
2,保健,保健功效,可推薦商品類別,美容養顏
2,保健,保健功效,可推薦商品類別,強化靈活關節
2,保健,保健功效,可推薦商品類別,眼睛保健
2,保健,保健功效,可推薦商品類別,提升記憶力
2,保健,保健功效,可推薦商品類別,提升調節免疫力
2,保健,保健功效,可推薦商品類別,腎臟保養
2,保健,保健功效,可推薦商品類別,腸胃保健
2,保健,保健功效,可推薦商品類別,護肝/抗疲勞
2,保健,保健功效,可推薦商品類別,體重管理
2,保健,高健康意識,是否有高健康意識,是
2,宗教商品,宗教風水偏好,有無宗教商品偏好,有
2,旅遊,旅遊偏好,旅遊國家偏好,大陸
2,旅遊,旅遊偏好,旅遊國家偏好,日韓
2,旅遊,旅遊偏好,旅遊國家偏好,台灣
2,旅遊,旅遊偏好,旅遊國家偏好,紐澳
2,旅遊,旅遊偏好,旅遊國家偏好,歐美
2,旅遊,旅遊偏好,有無旅遊偏好,有
2,生活,生活用品偏好,有無生活用品偏好,有
2,美容,美容偏好,有無美容偏好,有
2,美容,美容偏好,美妝保養類型偏好,護膚SPA
2,食品,食品偏好,有無食品偏好,有
2,食品,飲食習慣,是否曾買過素食,是
2,食品,飲食習慣,是否為素食者,是
2,寵物,寵物偏好,有無養寵物,無
3,基本類別,基本類別,性別,女
3,基本類別,基本類別,年齡區間,80以上
3,基本類別,基本類別,星座,天秤座
3,基本類別,基本類別,居住縣市,新北市板橋區
3,基本類別,基本類別,會員等級,A級會員
3,基本類別,基本類別,會員年資分組,20年以上-25年以下
3,保健,保健功效,可推薦商品類別,加強心血管機能
3,保健,保健功效,可推薦商品類別,男仕精壯
3,保健,保健功效,可推薦商品類別,美容養顏
3,保健,保健功效,可推薦商品類別,強化靈活關節
3,保健,保健功效,可推薦商品類別,眼睛保健
3,保健,保健功效,可推薦商品類別,提升調節免疫力
3,保健,保健功效,可推薦商品類別,腎臟保養
3,保健,保健功效,可推薦商品類別,護肝/抗疲勞
3,保健,保健功效,可推薦商品類別,體重管理
3,保健,高健康意識,是否有高健康意識,是
3,宗教商品,宗教風水偏好,有無宗教商品偏好,有
3,旅遊,旅遊偏好,旅遊國家偏好,日韓
3,旅遊,旅遊偏好,有無旅遊偏好,有
3,生活,生活用品偏好,有無生活用品偏好,有
3,美容,美容偏好,有無美容偏好,有
3,美容,美容偏好,美妝保養類型偏好,護膚SPA
3,食品,食品偏好,有無食品偏好,有
3,食品,飲食習慣,是否曾買過素食,是
3,寵物,寵物偏好,有無養寵物,有
3,寵物,寵物偏好,寵物類型,狗
4,基本類別,基本類別,性別,女
4,基本類別,基本類別,年齡區間,70-79
4,基本類別,基本類別,星座,雙子座
4,基本類別,基本類別,居住縣市,新北市板橋區
4,基本類別,基本類別,會員等級,A級會員
4,基本類別,基本類別,會員年資分組,10年以上-15年以下
4,保健,保健功效,可推薦商品類別,加強心血管機能
4,保健,保健功效,可推薦商品類別,美容養顏
4,保健,保健功效,可推薦商品類別,提升調節免疫力
4,保健,保健功效,可推薦商品類別,體重管理
4,保健,高健康意識,是否有高健康意識,是
4,宗教商品,宗教風水偏好,有無宗教商品偏好,有
4,生活,生活用品偏好,有無生活用品偏好,有
4,美容,美容偏好,有無美容偏好,有
4,食品,食品偏好,有無食品偏好,有
4,食品,飲食習慣,是否曾買過素食,是
4,食品,飲食習慣,是否為素食者,是
5,基本類別,基本類別,性別,女
5,基本類別,基本類別,年齡區間,60-69
5,基本類別,基本類別,星座,處女座
5,基本類別,基本類別,居住縣市,台北市文山區
5,基本類別,基本類別,會員等級,A級會員
5,基本類別,基本類別,會員年資分組,20年以上-25年以下
5,保健,保健功效,可推薦商品類別,加強心血管機能
5,保健,保健功效,可推薦商品類別,美容養顏
5,保健,保健功效,可推薦商品類別,提升調節免疫力
5,保健,保健功效,可推薦商品類別,腎臟保養
5,保健,保健功效,可推薦商品類別,護肝/抗疲勞
5,保健,保健功效,可推薦商品類別,體重管理
5,保健,高健康意識,是否有高健康意識,是
5,保健,網路瀏覽行為,保健瀏覽,體重管理
5,宗教商品,宗教風水偏好,有無宗教商品偏好,有
5,旅遊,旅遊偏好,旅遊國家偏好,大陸
5,旅遊,旅遊偏好,旅遊國家偏好,日韓
5,旅遊,旅遊偏好,有無旅遊偏好,有
5,生活,生活用品偏好,有無生活用品偏好,有
5,美容,美容偏好,有無美容偏好,有
5,美容,美容偏好,美妝保養類型偏好,護膚SPA
5,食品,食品偏好,有無食品偏好,有
5,寵物,寵物偏好,有無養寵物,無
6,基本類別,基本類別,性別,女
6,基本類別,基本類別,年齡區間,70-79
6,基本類別,基本類別,星座,白羊座
6,基本類別,基本類別,居住縣市,新北市板橋區
6,基本類別,基本類別,會員等級,A級會員
6,基本類別,基本類別,會員年資分組,20年以上-25年以下
6,基本類別,基本類別,職業,退休族
6,保健,保健功效,可推薦商品類別,美容養顏
6,保健,保健功效,可推薦商品類別,強化靈活關節
6,保健,保健功效,可推薦商品類別,體重管理
6,保健,高健康意識,是否有高健康意識,是
6,旅遊,旅遊偏好,旅遊國家偏好,大陸
6,旅遊,旅遊偏好,旅遊國家偏好,日韓
6,旅遊,旅遊偏好,旅遊國家偏好,台灣
6,旅遊,旅遊偏好,旅遊國家偏好,紐澳
6,旅遊,旅遊偏好,旅遊國家偏好,歐美
6,旅遊,旅遊偏好,有無旅遊偏好,有
6,生活,生活用品偏好,有無生活用品偏好,有
6,美容,美容偏好,有無美容偏好,有
6,美容,美容偏好,美妝保養類型偏好,護膚SPA
6,食品,食品偏好,有無食品偏好,有
6,食品,飲食習慣,是否曾買過素食,是
6,寵物,寵物偏好,有無養寵物,無
7,基本類別,基本類別,性別,女
7,基本類別,基本類別,年齡區間,70-79
7,基本類別,基本類別,星座,處女座
7,基本類別,基本類別,居住縣市,高雄市三民區
7,基本類別,基本類別,會員等級,A級會員
7,基本類別,基本類別,會員年資分組,10年以上-15年以下
7,保健,保健功效,可推薦商品類別,美容養顏
7,保健,保健功效,可推薦商品類別,強化靈活關節
7,保健,保健功效,可推薦商品類別,眼睛保健
7,保健,保健功效,可推薦商品類別,提升調節免疫力
7,保健,保健功效,可推薦商品類別,體重管理
7,保健,高健康意識,是否有高健康意識,是
7,旅遊,旅遊偏好,旅遊國家偏好,台灣
7,旅遊,旅遊偏好,有無旅遊偏好,有
7,美容,美容偏好,有無美容偏好,有
7,美容,美容偏好,美妝保養類型偏好,護膚SPA
7,食品,食品偏好,有無食品偏好,有
7,食品,飲食習慣,是否為素食者,是
7,寵物,寵物偏好,有無養寵物,無
8,基本類別,基本類別,性別,女
8,基本類別,基本類別,年齡區間,60-69
8,基本類別,基本類別,星座,水瓶座
8,基本類別,基本類別,居住縣市,台北市大同區
8,基本類別,基本類別,會員等級,A級會員
8,基本類別,基本類別,會員年資分組,10年以上-15年以下
8,保健,保健功效,可推薦商品類別,美容養顏
8,保健,保健功效,可推薦商品類別,強化靈活關節
8,保健,保健功效,可推薦商品類別,體重管理
8,保健,高健康意識,是否有高健康意識,是
8,生活,生活用品偏好,有無生活用品偏好,有
8,美容,美容偏好,有無美容偏好,有
8,美容,美容偏好,美妝保養類型偏好,護膚SPA
8,食品,食品偏好,有無食品偏好,有
8,食品,飲食習慣,是否為素食者,是
8,寵物,寵物偏好,有無養寵物,無
9,基本類別,基本類別,性別,女
9,基本類別,基本類別,年齡區間,60-69
9,基本類別,基本類別,星座,雙魚座
9,基本類別,基本類別,居住縣市,台北市文山區
9,基本類別,基本類別,會員等級,A級會員
9,基本類別,基本類別,會員年資分組,10年以上-15年以下
9,保健,保健功效,可推薦商品類別,加強心血管機能
9,保健,保健功效,可推薦商品類別,美容養顏
9,保健,保健功效,可推薦商品類別,強化靈活關節
9,保健,保健功效,可推薦商品類別,眼睛保健
9,保健,保健功效,可推薦商品類別,提升調節免疫力
9,保健,保健功效,可推薦商品類別,護肝/抗疲勞
9,保健,保健功效,可推薦商品類別,體重管理
9,保健,高健康意識,是否有高健康意識,是
9,宗教商品,宗教風水偏好,有無宗教商品偏好,有
9,旅遊,旅遊偏好,旅遊國家偏好,日韓
9,旅遊,旅遊偏好,有無旅遊偏好,有
9,生活,生活用品偏好,有無生活用品偏好,有
9,美容,美容偏好,有無美容偏好,有
9,食品,食品偏好,有無食品偏好,有
9,食品,飲食習慣,是否曾買過素食,是
9,寵物,寵物偏好,有無養寵物,有
9,寵物,寵物偏好,寵物類型,狗
10,基本類別,基本類別,性別,男
10,基本類別,基本類別,年齡區間,60-69
10,基本類別,基本類別,星座,雙魚座
10,基本類別,基本類別,居住縣市,台北市士林區
10,基本類別,基本類別,會員等級,A級會員
10,基本類別,基本類別,會員年資分組,20年以上-25年以下
10,基本類別,基本類別,職業,退休族
10,保健,保健功效,可推薦商品類別,美容養顏
10,保健,保健功效,可推薦商品類別,眼睛保健
10,保健,保健功效,可推薦商品類別,提升調節免疫力
10,保健,保健功效,可推薦商品類別,體重管理
10,保健,高健康意識,是否有高健康意識,是
10,保健,網路瀏覽行為,保健瀏覽,體重管理
10,宗教商品,宗教風水偏好,有無宗教商品偏好,有
10,旅遊,旅遊偏好,旅遊國家偏好,大陸
10,旅遊,旅遊偏好,旅遊國家偏好,日韓
10,旅遊,旅遊偏好,旅遊國家偏好,台灣
10,旅遊,旅遊偏好,有無旅遊偏好,有
10,生活,生活用品偏好,有無生活用品偏好,有
10,美容,美容偏好,有無美容偏好,有
10,食品,食品偏好,有無食品偏好,有
10,寵物,寵物偏好,有無養寵物,無
11,基本類別,基本類別,性別,女
